ID_USER,FRAUD_SCORE,VARIABLES,THRESHOLD,FECHA,IS_FRAUD
1,0.48921996,"{'GENERO': 'F', 'OS': '%%', 'DIA_DE_LA_SEMANA': 'Thursday', 'ESTABLECIMIENTO': nan, 'CIUDAD': 'Guadalajara', 'TIPO_TC': 'Fsica', 'MONTO': 254.1710526, 'HORA': 10, 'DEVICE_SCORE': 3, 'LINEA_TC': 94000, 'INTERES_TC': 56, 'DCTO': 0.0, 'CASHBACK': 2.541710526, 'IS_PRIME': False}",0.952,2020-01-30,False
1,0.29655927,"{'GENERO': 'F', 'OS': '%%', 'DIA_DE_LA_SEMANA': 'Monday', 'ESTABLECIMIENTO': nan, 'CIUDAD': 'Guadalajara', 'TIPO_TC': 'Fsica', 'MONTO': 37.00374724, 'HORA': 3, 'DEVICE_SCORE': 2, 'LINEA_TC': 94000, 'INTERES_TC': 56, 'DCTO': 0.0, 'CASHBACK': 0.370037472, 'IS_PRIME': False}",0.952,2020-01-27,False
2,0.3346063,"{'GENERO': 'F', 'OS': '%%', 'DIA_DE_LA_SEMANA': 'Thursday', 'ESTABLECIMIENTO': 'MPago', 'CIUDAD': 'Toluca', 'TIPO_TC': 'Virtual', 'MONTO': 436.9502657, 'HORA': 6, 'DEVICE_SCORE': 1, 'LINEA_TC': 55000, 'INTERES_TC': 57, 'DCTO': 87.39005313, 'CASHBACK': 6.99120425, 'IS_PRIME': False}",0.952,2020-01-30,False
2,0.88478804,"{'GENERO': 'F', 'OS': 'ANDROID', 'DIA_DE_LA_SEMANA': 'Sunday', 'ESTABLECIMIENTO': 'MPago', 'CIUDAD': 'Toluca', 'TIPO_TC': 'Fsica', 'MONTO': 439.3063117, 'HORA': 16, 'DEVICE_SCORE': 5, 'LINEA_TC': 55000, 'INTERES_TC': 57, 'DCTO': 0.0, 'CASHBACK': 4.393063117, 'IS_PRIME': False}",0.952,2020-01-26,False
2,0.79268545,"{'GENERO': 'F', 'OS': 'WEB', 'DIA_DE_LA_SEMANA': 'Thursday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': 'Toluca', 'TIPO_TC': 'Fsica', 'MONTO': 599.014183, 'HORA': 22, 'DEVICE_SCORE': 5, 'LINEA_TC': 55000, 'INTERES_TC': 57, 'DCTO': 119.8028366, 'CASHBACK': 4.792113464, 'IS_PRIME': False}",0.952,2020-01-30,False
3,0.6591989,"{'GENERO': 'F', 'OS': 'ANDROID', 'DIA_DE_LA_SEMANA': 'Sunday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': 'Toluca', 'TIPO_TC': 'Fsica', 'MONTO': 415.3643119, 'HORA': 19, 'DEVICE_SCORE': 2, 'LINEA_TC': 62000, 'INTERES_TC': 34, 'DCTO': 0.0, 'CASHBACK': 4.153643119, 'IS_PRIME': False}",0.952,2020-01-26,False
3,0.31806678,"{'GENERO': 'F', 'OS': 'ANDROID', 'DIA_DE_LA_SEMANA': 'Saturday', 'ESTABLECIMIENTO': 'Farmacia', 'CIUDAD': 'Toluca', 'TIPO_TC': 'Fsica', 'MONTO': 62.60783621, 'HORA': 12, 'DEVICE_SCORE': 3, 'LINEA_TC': 62000, 'INTERES_TC': 34, 'DCTO': 0.0, 'CASHBACK': 0.626078362, 'IS_PRIME': False}",0.952,2020-01-25,False
4,0.23725876,"{'GENERO': '--', 'OS': 'WEB', 'DIA_DE_LA_SEMANA': 'Monday', 'ESTABLECIMIENTO': 'Restaurante', 'CIUDAD': 'Merida', 'TIPO_TC': 'Fsica', 'MONTO': 277.1765241, 'HORA': 6, 'DEVICE_SCORE': 2, 'LINEA_TC': 83000, 'INTERES_TC': 37, 'DCTO': 55.43530481, 'CASHBACK': 2.217412193, 'IS_PRIME': False}",0.952,2020-01-27,False
5,0.28449392,"{'GENERO': 'M', 'OS': 'WEB', 'DIA_DE_LA_SEMANA': 'Saturday', 'ESTABLECIMIENTO': 'Farmacia', 'CIUDAD': 'Monterrey', 'TIPO_TC': 'Fsica', 'MONTO': 31.780052, 'HORA': 11, 'DEVICE_SCORE': 2, 'LINEA_TC': 33000, 'INTERES_TC': 54, 'DCTO': 0.0, 'CASHBACK': 0.31780052, 'IS_PRIME': False}",0.952,2020-01-25,False
6,0.45742473,"{'GENERO': 'F', 'OS': ',', 'DIA_DE_LA_SEMANA': 'Sunday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': 'Guadalajara', 'TIPO_TC': 'Fsica', 'MONTO': 650.5538036, 'HORA': 16, 'DEVICE_SCORE': 3, 'LINEA_TC': 39000, 'INTERES_TC': 55, 'DCTO': 0.0, 'CASHBACK': 6.505538036, 'IS_PRIME': False}",0.952,2020-01-26,False
8,0.7808087,"{'GENERO': 'M', 'OS': ',', 'DIA_DE_LA_SEMANA': 'Sunday', 'ESTABLECIMIENTO': 'Abarrotes', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 121.7157878, 'HORA': 21, 'DEVICE_SCORE': 2, 'LINEA_TC': 76000, 'INTERES_TC': 58, 'DCTO': 0.0, 'CASHBACK': 1.217157878, 'IS_PRIME': False}",0.952,2020-01-26,False
8,0.30629185,"{'GENERO': 'M', 'OS': 'ANDROID', 'DIA_DE_LA_SEMANA': 'Wednesday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 51.58899492, 'HORA': 3, 'DEVICE_SCORE': 1, 'LINEA_TC': 76000, 'INTERES_TC': 58, 'DCTO': 0.0, 'CASHBACK': 0.515889949, 'IS_PRIME': False}",0.952,2020-01-29,False
8,0.7679561,"{'GENERO': 'M', 'OS': 'ANDROID', 'DIA_DE_LA_SEMANA': 'Thursday', 'ESTABLECIMIENTO': 'Restaurante', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 85.9038243, 'HORA': 13, 'DEVICE_SCORE': 4, 'LINEA_TC': 76000, 'INTERES_TC': 58, 'DCTO': 0.0, 'CASHBACK': 0.859038243, 'IS_PRIME': False}",0.952,2020-01-30,False
9,0.7051219,"{'GENERO': 'F', 'OS': ',', 'DIA_DE_LA_SEMANA': 'Monday', 'ESTABLECIMIENTO': 'Farmacia', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 812.3275524, 'HORA': 23, 'DEVICE_SCORE': 1, 'LINEA_TC': 62000, 'INTERES_TC': 45, 'DCTO': 0.0, 'CASHBACK': 8.123275524, 'IS_PRIME': False}",0.952,2020-01-27,False
9,0.49678546,"{'GENERO': 'F', 'OS': 'WEB', 'DIA_DE_LA_SEMANA': 'Sunday', 'ESTABLECIMIENTO': 'Abarrotes', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 581.5642017, 'HORA': 6, 'DEVICE_SCORE': 1, 'LINEA_TC': 62000, 'INTERES_TC': 45, 'DCTO': 0.0, 'CASHBACK': 5.815642017, 'IS_PRIME': False}",0.952,2020-01-26,False
10,0.6363494,"{'GENERO': 'M', 'OS': '%%', 'DIA_DE_LA_SEMANA': 'Wednesday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': 'Monterrey', 'TIPO_TC': 'Virtual', 'MONTO': 948.7450691, 'HORA': 7, 'DEVICE_SCORE': 5, 'LINEA_TC': 44000, 'INTERES_TC': 42, 'DCTO': 189.7490138, 'CASHBACK': 15.1799211, 'IS_PRIME': False}",0.952,2020-01-29,False
11,0.4265849,"{'GENERO': 'F', 'OS': '%%', 'DIA_DE_LA_SEMANA': 'Tuesday', 'ESTABLECIMIENTO': 'Super', 'CIUDAD': nan, 'TIPO_TC': 'Fsica', 'MONTO': 513.6973955, 'HORA': 2, 'DEVICE_SCORE': 2, 'LINEA_TC': 81000, 'INTERES_TC': 57, 'DCTO': 0.0, 'CASHBACK': 5.136973955, 'IS_PRIME': False}",0.952,2020-01-28,False
